,SUM of OOM_Points,Course,,,,,,,,,,,,,,,,,,,,
 ,screen_name,1. Mission Hills Norman,2. Purunsol,3. St Andrews,4. Tani CC,5. Ariji CC,6. Sophia Green,7. Phoenix Resort Dragon,Grand Total,Av. Points Per Round - (APPR),Rank based on APPR,,Final,,,1. Mission Hills Norman,2. Purunsol,3. St Andrews,4. Tani CC,5. Ariji CC,6. Sophia Green,7. Phoenix Resort Dragon
1,JockyWilson (Jamie),25,37,24,37,29,30,26,208,29.7,1,JockyWilson (Jamie),1.0,29.7,7,1,1,1,1,1,1,1
2,kangsterP (Pil),25,36,32,33,31,35,10,202,28.9,2,kangsterP (Pil),2.0,28.9,7,1,1,1,1,1,1,1
3,Ju섐보 (Juyong) (R),28,33,33,19,20,15,37,185,26.4,3,Ju섐보 (Juyong) (R),3.0,26.4,7,1,1,1,1,1,1,1
4,타드 (Todd),35,20,23,19,24,26,36,183,26.1,4,타드 (Todd),4.0,26.1,7,1,1,1,1,1,1,1
5,Commishhhh (Neil),28,21,13,30,36,22,28,178,25.4,5,Commishhhh (Neil),5.0,25.4,7,1,1,1,1,1,1,1
6,timmo86 (Neil),14,7,32,35,27,37,25,177,25.3,6,timmo86 (Neil),6.0,25.3,7,1,1,1,1,1,1,1
7,thechump (Alan),29,30,16,32,27,26,16,176,25.1,7,thechump (Alan),7.0,25.1,7,1,1,1,1,1,1,1
8,dannie.drew (Danny),33,26,30,4,22,29,31,175,25.0,8,dannie.drew (Danny),8.0,25.0,7,1,1,1,1,1,1,1
9,robertevans (Robert),36,30,30,5,20,28,25,174,24.9,9,robertevans (Robert),9.0,24.9,7,1,1,1,1,1,1,1
10,rickiej (Rickie),28,34,4,21,33,14,31,165,23.6,10,rickiej (Rickie),10.0,23.6,7,1,1,1,1,1,1,1
11,longshanks (Lewis) (R),33,15,34,14,20,33,16,165,23.6,10,longshanks (Lewis) (R),11.0,23.6,7,1,1,1,1,1,1,1
12,kylo (Kyle),30,27,15,19,28,36,10,165,23.6,10,kylo (Kyle),12.0,23.6,7,1,1,1,1,1,1,1
13,unclejoejoe (Joe),4,30,20,27,33,13,36,163,23.3,13,unclejoejoe (Joe),13.0,23.3,7,1,1,1,1,1,1,1
14,richard85 (Rich),33,32,6,31,11,34,16,163,23.3,13,richard85 (Rich),14.0,23.3,7,1,1,1,1,1,1,1
15,goody (Nick),35,11,26,27,15,22,26,162,23.1,15,goody (Nick),15.0,23.1,7,1,1,1,1,1,1,1
16,batermankr (Jason),5,26,35,19,15,33,29,162,23.1,15,batermankr (Jason),16.0,23.1,7,1,1,1,1,1,1,1
