1. Mission Hills Norman,,,,,,,,,,,
screen_name,SUM of gross,SUM of absolute_net,SUM of Comp_score,SUM of SUM of Handi_bonus,SUM of SUM of order,SUM of Solo Play,Initial_Score,Tied,Ranking Points,Handi bonus,Final Points
robertevans (Robert),73,74.6,74,0,74,0.00,36,N,36,0,36
goody (Nick),91,75.0,76,0,76,0.00,35,N,35,0,35
타드 (Todd),73,77.0,76,0,76,0.00,34,Y,35,0,35
dannie.drew (Danny),82,75.7,77,0,77,0.00,33,N,33,0,33
longshanks (Lewis) (R),90,76.3,77,0,77,0.00,32,Y,33,0,33
richard85 (Rich),80,76.3,77,0,77,0.00,31,Y,33,0,33
kylo (Kyle),80,77.8,78,0,78,0.00,30,N,30,0,30
thechump (Alan),86,78.6,79,0,79,0.00,29,N,29,0,29
Commishhhh (Neil),85,79.0,80,0,80,0.00,28,N,28,0,28
Ju섐보 (Juyong) (R),94,79.1,80,0,80,0.00,27,Y,28,0,28
rickiej (Rickie),99,78.1,80,0,80,0.00,26,Y,28,0,28
JockyWilson (Jamie),98,79.3,81,0,81,0.00,25,N,25,0,25
kangsterP (Pil),87,80.1,81,0,81,0.00,24,Y,25,0,25
schwinger (David),83,81.9,82,0,82,0.00,23,N,23,0,23
drewd (Drew),85,82.6,83,0,83,0.00,22,N,22,0,22
tarmin (Martin),91,81.7,83,0,83,0.00,21,Y,22,0,22
보기카스 (Kyle),105,80.9,83,0,83,0.00,20,Y,22,0,22
flemster (Sean),88,83.4,84,0,84,0.00,19,N,19,0,19
danmor (Dan),89,84.1,85,0,85,0.00,18,N,18,0,18
double_putt (Alan),96,83.9,85,0,85,0.00,17,Y,18,0,18
EnricoPalazzo (Blake),86,84.9,85,0,85,0.00,16,Y,18,0,18
golfgod69 (Josh),104,83.6,85,0,85,0.00,15,Y,18,0,18
timmo86 (Neil),90,85.1,86,0,86,0.00,14,N,14,0,14
bumbinger (Jack),111,85.2,87,0,87,0.00,13,N,13,0,13
hardytom89 (David),105,85.6,87,0,87,0.00,12,Y,13,0,13
shaunybaby (Shaun),94,85.9,87,0,87,0.00,11,Y,13,0,13
BigRiver (Brett) (R),107,87.0,88,0,88,0.00,10,N,10,0,10
trimbo (Tim),92,86.9,88,0,88,0.00,9,Y,10,0,10
Mal (Mal),95,87.9,89,0,89,0.00,8,N,8,0,8
rezasnap (Reza),114,85.3,89,0,89,0.00,7,Y,8,0,8
핀탄 (Finton),103,90.1,91,0,91,0.00,6,N,6,0,6
batermankr (Jason),111,92.4,94,0,94,0.00,5,N,5,0,5
unclejoejoe (Joe),99,95.6,96,0,96,0.00,4,N,4,0,4
roddybanc (Roddy),109,99.6,101,0,101,0.00,3,N,3,0,3
Pilster (Phil),119,101.9,103,0,103,0.00,2,N,2,0,2
jackharrison (Jack),139,94.5,114,0,114,0.00,1,N,1,0,1
,,,,,,,0,N,0,0,0
,,,,,,,-1,Y,0,0,0
,,,,,,,-2,Y,0,0,0
,,,,,,,-3,Y,0,0,0
,,,,,,,-4,Y,0,0,0
,,,,,,,-5,Y,0,0,0
,,,,,,,-6,Y,0,0,0
,,,,,,,-7,Y,0,0,0
,,,,,,,-8,Y,0,0,0
