3. St Andrews,,,,,,,,,,,
screen_name,SUM of gross,SUM of absolute_net,SUM of Comp_score,SUM of SUM of handi_bonus3,SUM of SUM of order,SUM of social score,Initial_Score,Tied,Ranking Points,Handi bonus,Final Points
BigRiver (Brett) (R),81,61.0,62,1,62,0.00,36,N,36,1,37
golfgod69 (Josh),83,61.0,63,1,63,0.00,35,N,35,1,36
batermankr (Jason),82,63.0,64,1,64,0.00,34,N,34,1,35
longshanks (Lewis) (R),78,64.3,65,1,65,0.00,33,N,33,1,34
Ju섐보 (Juyong) (R),82,67.1,68,1,68,0.00,32,N,32,1,33
kangsterP (Pil),75,68.6,69,1,69,0.00,31,N,31,1,32
timmo86 (Neil),73,68.1,69,1,69,0.00,30,Y,31,1,32
dannie.drew (Danny),76,68.7,70,1,70,0.00,29,N,29,1,30
flemster (Sean),74,69.1,70,1,70,0.00,28,Y,29,1,30
robertevans (Robert),69,70.7,70,1,70,0.00,27,Y,29,1,30
roddybanc (Roddy),79,69.3,70,1,70,0.00,26,Y,29,1,30
goody (Nick),86,69.3,71,1,71,0.00,25,N,25,1,26
rezasnap (Reza),96,66.4,71,1,71,0.00,24,Y,25,1,26
JockyWilson (Jamie),87,70.2,72,1,72,0.00,23,N,23,1,24
Pilster (Phil),88,70.6,72,1,72,0.00,22,Y,23,1,24
타드 (Todd),69,72.4,72,0,72,0.00,21,Y,23,0,23
double_putt (Alan),84,71.6,73,0,73,0.00,20,N,20,0,20
drewd (Drew),75,72.1,73,0,73,0.00,19,Y,20,0,20
Mal (Mal),80,71.9,73,0,73,0.00,18,Y,20,0,20
unclejoejoe (Joe),76,72.7,73,0,73,0.00,17,Y,20,0,20
thechump (Alan),81,73.1,74,0,74,0.00,16,N,16,0,16
danmor (Dan),80,74.7,75,0,75,0.00,15,N,15,0,15
kylo (Kyle),77,74.5,75,0,75,0.00,14,Y,15,0,15
Commishhhh (Neil),85,75.1,76,0,76,0.00,13,N,13,0,13
EnricoPalazzo (Blake),77,75.9,76,0,76,0.00,12,Y,13,0,13
schwinger (David),78,75.2,76,0,76,0.00,11,Y,13,0,13
shaunybaby (Shaun),84,74.8,76,0,76,0.00,10,Y,13,0,13
핀탄 (Finton),89,74.3,76,0,76,0.00,9,Y,13,0,13
tarmin (Martin),86,76.7,78,0,78,0.00,8,N,8,0,8
보기카스 (Kyle),101,76.6,78,0,78,0.00,7,Y,8,0,8
richard85 (Rich),83,79.6,80,0,80,0.00,6,N,6,0,6
trimbo (Tim),85,79.2,80,0,80,0.00,5,Y,6,0,6
rickiej (Rickie),102,80.4,82,0,82,0.00,4,N,4,0,4
hardytom89 (David),102,82.2,84,0,84,0.00,3,N,3,0,3
bumbinger (Jack),112,85.3,87,0,87,0.00,2,N,2,0,2
jackharrison (Jack),135,90.5,110,0,110,0.00,1,N,1,0,1
,,,,,,,0,N,0,0,0
,,,,,,,-1,Y,0,0,0
,,,,,,,-2,Y,0,0,0
,,,,,,,-3,Y,0,0,0
,,,,,,,-4,Y,0,0,0
,,,,,,,-5,Y,0,0,0
,,,,,,,-6,Y,0,0,0
,,,,,,,-7,Y,0,0,0
,,,,,,,-8,Y,0,0,0
